bank_ref,value_date,credit_amount,description,utr_number
NEFT/2025/867111,21-03-2025,7054.69,RZRPY/REF3001,3001
NEFT/2025/600935,19-03-2025,12797.25,RZRPY/REF3002,3002
NEFT/2025/434604,09-03-2025,25291.11,RZRPY/REF3003,3003
NEFT/2025/281132,15-03-2025,6754.07,RZRPY/REF3004,3004
NEFT/2025/336720,15-03-2025,29319.8,RZRPY/REF3005,3005
NEFT/2025/139261,06-03-2025,23031.03,RZRPY/REF3006,3006
NEFT/2025/106654,21-03-2025,1970.73,RZRPY/REF3007,3007
NEFT/2025/972993,28-03-2025,38688.07,RZRPY/REF3008,3008
NEFT/2025/486953,15-03-2025,17155.39,RZRPY/REF3009,3009
NEFT/2025/723288,27-03-2025,23897.92,RZRPY/REF3010,3010
NEFT/2025/970171,26-03-2025,2075.49,RZRPY/REF3011,3011
NEFT/2025/812869,07-03-2025,28454.1,RZRPY/REF3012,3012
NEFT/2025/622201,04-03-2025,1374.29,RZRPY/REF3013,3013
NEFT/2025/220532,13-03-2025,1511.99,RZRPY/REF3014,3014
NEFT/2025/803548,18-03-2025,23890.04,RZRPY/REF3015,3015
NEFT/2025/973892,22-03-2025,26098.81,RZRPY/REF3016,3016
NEFT/2025/676034,03-03-2025,9344.47,RZRPY/REF3017,3017
NEFT/2025/504574,09-03-2025,40041.13,RZRPY/REF3018,3018
NEFT/2025/354697,11-03-2025,3905.85,RZRPY/REF3019,3019
NEFT/2025/141848,19-03-2025,2055.38,RZRPY/REF3020,3020
NEFT/2025/890534,13-03-2025,22926.66,RZRPY/REF3021,3021
NEFT/2025/536359,17-03-2025,32287.99,RZRPY/REF3022,3022
NEFT/2025/501799,27-03-2025,37335.99,RZRPY/REF3023,3023
NEFT/2025/186625,02-03-2025,7363.57,RZRPY/REF3024,3024
NEFT/2025/775946,26-03-2025,46634.95,RZRPY/REF3025,3025
NEFT/2025/280995,27-03-2025,47926.07,RZRPY/REF3026,3026
NEFT/2025/691284,21-03-2025,36421.98,RZRPY/REF3027,3027
NEFT/2025/198645,15-03-2025,35625.04,RZRPY/REF3028,3028
NEFT/2025/688777,01-03-2025,41925.22,RZRPY/REF3029,3029
NEFT/2025/806069,24-03-2025,11049.18,RZRPY/REF3030,3030
NEFT/2025/176479,02-03-2025,43942.8,RZRPY/REF3031,3031
NEFT/2025/976081,11-03-2025,21055.78,RZRPY/REF3032,3032
NEFT/2025/851220,04-03-2025,21517.15,RZRPY/REF3033,3033
NEFT/2025/984029,28-03-2025,30082.66,RZRPY/REF3034,3034
NEFT/2025/265695,24-03-2025,32419.61,RZRPY/REF3035,3035
