payment_id,amount,date,status,merchant_ref,merchant_category
pay_HDSe5PgYXO,7054.69,2025-03-21,SUCCESS,REF3001,services
pay_bQt85gtp60,12797.25,2025-03-19,SUCCESS,REF3002,retail
pay_y6FEM0dLFS,25291.11,2025-03-09,SUCCESS,REF3003,food
pay_9BwXn0OoE6,6754.07,2025-03-15,SUCCESS,REF3004,electronics
pay_CtVdl3U7gL,29319.8,2025-03-15,SUCCESS,REF3005,retail
pay_V47VFRlqC8,23031.03,2025-03-06,SUCCESS,REF3006,food
pay_1edGmKJcjo,1970.73,2025-03-21,SUCCESS,REF3007,electronics
pay_amxSPcwt6o,38688.07,2025-03-28,SUCCESS,REF3008,travel
pay_5JuvaSVeMh,17155.39,2025-03-15,SUCCESS,REF3009,food
pay_20FEFVXqah,23897.92,2025-03-27,SUCCESS,REF3010,services
pay_Jneu9uZaSO,2075.49,2025-03-26,SUCCESS,REF3011,services
pay_hLdd3U7HXe,28454.1,2025-03-07,SUCCESS,REF3012,services
pay_sq7wRkS7Ty,1374.29,2025-03-04,SUCCESS,REF3013,travel
pay_vKzhS6OeFi,1511.99,2025-03-13,SUCCESS,REF3014,travel
pay_yrWl3WDvM9,23890.04,2025-03-18,SUCCESS,REF3015,electronics
pay_yr5PKl2Uyw,26098.81,2025-03-22,SUCCESS,REF3016,food
pay_gIpiQpIdIJ,9344.47,2025-03-03,SUCCESS,REF3017,electronics
pay_pv3aFgtiDa,40041.13,2025-03-09,SUCCESS,REF3018,travel
pay_mKlyBI3xbV,3905.85,2025-03-11,SUCCESS,REF3019,electronics
pay_BDVMsmWzd4,2055.38,2025-03-19,SUCCESS,REF3020,electronics
pay_AkRQ5hKCv4,22926.66,2025-03-13,SUCCESS,REF3021,electronics
pay_QSNQ3sdSmP,32287.99,2025-03-17,SUCCESS,REF3022,retail
pay_NxkQhZzW32,37335.99,2025-03-27,SUCCESS,REF3023,retail
pay_Pe0MQ2OQVc,7363.57,2025-03-02,SUCCESS,REF3024,food
pay_crZVy8vFtM,46634.95,2025-03-26,SUCCESS,REF3025,food
pay_5uGz5PhCYq,47926.07,2025-03-27,SUCCESS,REF3026,electronics
