payment_id,amount,date,status,merchant_ref,merchant_category
pay_tvzQDaJn5V,14084.92,2025-03-01,SUCCESS,REF3001,retail
pay_BcRtFxO34o,43673.46,2025-03-02,SUCCESS,REF3002,services
pay_eZAA4v9OEK,25836.49,2025-03-03,SUCCESS,REF3003,food
pay_NVCmigyACv,23466.99,2025-03-04,SUCCESS,REF3004,electronics
pay_DKbio84biD,11168.8,2025-03-05,SUCCESS,REF3005,travel
pay_SXZeDksfxK,40266.92,2025-03-06,SUCCESS,REF3006,retail
pay_8bT4EZliNS,25283.96,2025-03-07,SUCCESS,REF3007,services
pay_HjrmFNAYcK,43582.75,2025-03-08,SUCCESS,REF3008,food
pay_YplILbYBgg,16003.64,2025-03-09,SUCCESS,REF3009,electronics
pay_oBM6NBaoIV,28241.41,2025-03-10,SUCCESS,REF3010,travel
pay_UciRPOtf3I,17856.69,2025-03-11,SUCCESS,REF3011,retail
pay_yDDR7NJAdG,34326.11,2025-03-12,SUCCESS,REF3012,services
pay_minEp5dfMD,4398.66,2025-03-13,SUCCESS,REF3013,food
pay_mdgsrJZvQB,42244.83,2025-03-14,SUCCESS,REF3014,electronics
pay_IAJIZJfFeC,11604.85,2025-03-15,SUCCESS,REF3015,travel
pay_4tBtLE8MHA,32442.98,2025-03-16,SUCCESS,REF3016,retail
pay_RLX33AYyq9,40410.01,2025-03-17,SUCCESS,REF3017,services
pay_X6FMWCxGlw,21688.99,2025-03-18,SUCCESS,REF3018,food
pay_wIVXwFGr2j,24769.9,2025-03-19,SUCCESS,REF3019,electronics
pay_zaOTY8MkOm,17451.02,2025-03-20,SUCCESS,REF3020,travel
pay_M9uwAyIb4e,26443.67,2025-03-21,SUCCESS,REF3021,retail
pay_AaUh2EJh9j,31821.95,2025-03-22,SUCCESS,REF3022,services
pay_NW1CZ5V749,15384.63,2025-03-23,SUCCESS,REF3023,food
pay_wxcfSbGhvL,43875.44,2025-03-24,SUCCESS,REF3024,electronics
pay_iL6dFMzSej,6896.64,2025-03-25,SUCCESS,REF3025,travel
pay_kDTliE8k2S,6728.6,2025-03-26,SUCCESS,REF3026,retail
pay_1R0Qg96QuF,27299.64,2025-03-27,SUCCESS,REF3027,services
pay_xQkWtdAESQ,22613.9,2025-03-01,SUCCESS,REF3028,food
pay_Ef1xo03rt4,37724.45,2025-03-02,SUCCESS,REF3029,electronics
pay_4ygsJoYYT2,4835.75,2025-03-03,SUCCESS,REF3030,travel
pay_xYPQzkJDNV,44520.74,2025-03-04,SUCCESS,REF3031,retail
pay_ThNRh8wwPO,15524.14,2025-03-05,SUCCESS,REF3032,services
pay_9IQPPqUMTN,8862.68,2025-03-06,SUCCESS,REF3033,food
pay_iGQ5itvriG,14942.95,2025-03-07,SUCCESS,REF3034,electronics
pay_42rvvGPjt6,28486.0,2025-03-08,SUCCESS,REF3035,travel
pay_Ltp2Q2xnGp,23217.93,2025-03-09,SUCCESS,REF3036,retail
pay_5UlXA76vqL,26568.25,2025-03-10,SUCCESS,REF3037,services
pay_hHDKny0Wc6,22380.21,2025-03-11,SUCCESS,REF3038,food
pay_2t80whqvV5,4130.17,2025-03-12,SUCCESS,REF3039,electronics
pay_wrM2KU6Y6T,13507.12,2025-03-13,SUCCESS,REF3040,travel
pay_nyGbsIYawk,32588.58,2025-03-14,SUCCESS,REF3041,retail
pay_avDOD1p9mQ,14041.67,2025-03-15,SUCCESS,REF3042,services
pay_Ufl6V8k3wV,19021.61,2025-03-16,SUCCESS,REF3043,food
pay_LwxCJQhAEB,7825.77,2025-03-17,SUCCESS,REF3044,electronics
pay_0y19NaXEOH,47506.5,2025-03-18,SUCCESS,REF3045,travel
pay_bsRqCt7LrG,37696.56,2025-03-19,SUCCESS,REF3046,retail
pay_8N0Uql3UMb,8489.25,2025-03-20,SUCCESS,REF3047,services
pay_mM7SRTfyCm,8518.47,2025-03-21,SUCCESS,REF3048,food
pay_HJkACoBXq0,43578.2,2025-03-22,SUCCESS,REF3049,electronics
pay_CmMxfC7hJd,1055.66,2025-03-23,SUCCESS,REF3050,travel
