bank_ref,value_date,credit_amount,description,utr_number
NEFT/2026/640446,01-08-2026,39638.04,RZRPY/REF2001,2001
NEFT/2026/842123,02-08-2026,39272.12,RZRPY/REF2002,2002
NEFT/2026/506965,03-08-2026,36854.22,RZRPY/REF2003,2003
NEFT/2026/420651,04-08-2026,15022.11,RZRPY/REF2004,2004
NEFT/2026/431498,05-08-2026,44650.37,RZRPY/REF2005,2005
NEFT/2026/693606,06-08-2026,20685.12,RZRPY/REF2006,2006
NEFT/2026/844229,07-08-2026,8462.3,RZRPY/REF2007,2007
NEFT/2026/575672,08-08-2026,47140.6,RZRPY/REF2008,2008
NEFT/2026/859847,09-08-2026,32777.42,RZRPY/REF2009,2009
NEFT/2026/830962,10-08-2026,23407.52,RZRPY/REF2010,2010
NEFT/2026/934295,11-08-2026,20110.67,RZRPY/REF2011,2011
NEFT/2026/425221,12-08-2026,21847.46,RZRPY/REF2012,2012
NEFT/2026/305882,13-08-2026,47931.59,RZRPY/REF2013,2013
NEFT/2026/557702,14-08-2026,27721.42,RZRPY/REF2014,2014
NEFT/2026/417185,15-08-2026,31786.07,RZRPY/REF2015,2015
NEFT/2026/614779,16-08-2026,43844.38,RZRPY/REF2016,2016
NEFT/2026/290105,17-08-2026,46004.38,RZRPY/REF2017,2017
NEFT/2026/868017,18-08-2026,42973.95,RZRPY/REF2018,2018
NEFT/2026/201342,19-08-2026,36100.52,RZRPY/REF2019,2019
NEFT/2026/473522,20-08-2026,19528.15,RZRPY/REF2020,2020
NEFT/2026/127685,21-08-2026,45913.99,RZRPY/REF2021,2021
NEFT/2026/608167,22-08-2026,18824.71,RZRPY/REF2022,2022
NEFT/2026/689836,23-08-2026,22902.97,RZRPY/REF2023,2023
NEFT/2026/804852,24-08-2026,37828.24,RZRPY/REF2024,2024
NEFT/2026/468299,25-08-2026,18036.9,RZRPY/REF2025,2025
NEFT/2026/290416,26-08-2026,40895.41,RZRPY/REF2026,2026
NEFT/2026/489882,27-08-2026,38666.77,RZRPY/REF2027,2027
NEFT/2026/561286,01-08-2026,29659.89,RZRPY/REF2028,2028
NEFT/2026/556685,02-08-2026,38316.73,RZRPY/REF2029,2029
NEFT/2026/943098,03-08-2026,23547.34,RZRPY/REF2030,2030
NEFT/2026/552228,04-08-2026,7082.39,RZRPY/REF2031,2031
NEFT/2026/214756,05-08-2026,14104.65,RZRPY/REF2032,2032
NEFT/2026/482839,06-08-2026,7562.39,RZRPY/REF2033,2033
NEFT/2026/106721,07-08-2026,4349.21,RZRPY/REF2034,2034
NEFT/2026/121545,08-08-2026,37043.89,RZRPY/REF2035,2035
NEFT/2026/122319,09-08-2026,46801.42,RZRPY/REF2036,2036
NEFT/2026/527840,10-08-2026,44489.4,RZRPY/REF2037,2037
NEFT/2026/654201,11-08-2026,44477.7,RZRPY/REF2038,2038
NEFT/2026/804704,13-08-2026,8133.94,RZRPY/REF2040,2040
NEFT/2026/870002,14-08-2026,13746.9,RZRPY/REF2041,2041
NEFT/2026/650814,15-08-2026,27107.56,RZRPY/REF2042,2042
NEFT/2026/109531,16-08-2026,36717.97,RZRPY/REF2043,2043
NEFT/2026/819850,22-08-2026,19736.68,RZRPY/REF2044,2044
