bank_ref,value_date,credit_amount,description,utr_number
NEFT/2026/888999,20-07-2026,69542.6,RZRPY/BATCH_REF1031_REF1042,1031
NEFT/2026/683845,02-07-2026,28769.51,RZRPY/REF1001,1001
NEFT/2026/988753,05-07-2026,43384.54,RZRPY/REF1004,1004
NEFT/2026/209065,23-07-2026,112.53,RZRPY/REF1008,1008
NEFT/2026/409561,28-07-2026,3511.48,RZRPY/REF1009,1009
NEFT/2026/434096,12-07-2026,38022.81,RZRPY/REF1010,1010
NEFT/2026/958477,20-07-2026,5796.72,RZRPY/REF1011,1011
NEFT/2026/748047,09-07-2026,32227.99,RZRPY/REF1012,1012
NEFT/2026/415755,14-07-2026,23276.25,RZRPY/REF1013,1013
NEFT/2026/831653,15-07-2026,17778.43,RZRPY/REF1014,1014
NEFT/2026/211459,16-07-2026,14248.19,RZRPY/REF1015,1015
NEFT/2026/626934,17-07-2026,43136.86,RZRPY/REF1016,1016
NEFT/2026/534104,18-07-2026,42354.78,RZRPY/REF1017,1017
NEFT/2026/809123,19-07-2026,21554.93,RZRPY/REF1018,1018
NEFT/2026/668071,20-07-2026,17491.54,RZRPY/REF1019,1019
NEFT/2026/382176,21-07-2026,29044.7,RZRPY/REF1020,1020
NEFT/2026/696364,22-07-2026,9047.4,RZRPY/REF1021,1021
NEFT/2026/219675,23-07-2026,30121.28,RZRPY/REF1022,1022
NEFT/2026/896769,24-07-2026,46719.31,RZRPY/REF1023,1023
NEFT/2026/868015,25-07-2026,9629.14,RZRPY/REF1024,1024
NEFT/2026/662796,26-07-2026,10797.41,RZRPY/REF1025,1025
NEFT/2026/947702,27-07-2026,13174.33,RZRPY/REF1026,1026
NEFT/2026/157418,01-07-2026,22180.44,RZRPY/REF1027,1027
NEFT/2026/877827,02-07-2026,34609.76,RZRPY/REF1028,1028
NEFT/2026/775565,03-07-2026,6779.57,RZRPY/REF1029,1029
NEFT/2026/375594,04-07-2026,33349.65,RZRPY/REF1030,1030
NEFT/2026/421404,06-07-2026,29506.36,RZRPY/REF1032,1032
NEFT/2026/315531,07-07-2026,2616.23,RZRPY/REF1033,1033
NEFT/2026/733894,08-07-2026,47452.46,RZRPY/REF1034,1034
NEFT/2026/939260,09-07-2026,37868.19,RZRPY/REF1035,1035
NEFT/2026/790826,10-07-2026,5168.88,RZRPY/REF1036,1036
NEFT/2026/480442,11-07-2026,42182.42,RZRPY/REF1037,1037
NEFT/2026/108997,12-07-2026,39665.73,RZRPY/REF1038,1038
NEFT/2026/152102,13-07-2026,5885.57,RZRPY/REF1039,1039
NEFT/2026/290916,14-07-2026,14424.13,RZRPY/REF1040,1040
NEFT/2026/306072,15-07-2026,43753.12,RZRPY/REF1041,1041
NEFT/2026/315431,17-07-2026,4671.04,RZRPY/REF1043,1043
NEFT/2026/348510,18-07-2026,30857.33,RZRPY/REF1044,1044
NEFT/2026/151385,19-07-2026,36101.74,RZRPY/REF1045,1045
NEFT/2026/965453,20-07-2026,3452.6,RZRPY/REF1046,1046
NEFT/2026/795964,21-07-2026,39293.68,RZRPY/REF1047,1047
NEFT/2026/115684,22-07-2026,38329.1,RZRPY/REF1048,1048
NEFT/2026/172069,23-07-2026,17642.16,RZRPY/REF1049,1049
