payment_id,amount,date,status,merchant_ref,merchant_category
pay_yK17kA53Iq,200.09,2026-07-21,SUCCESS,REF1000,retail
pay_Eg83Bm10Tq,765.86,2026-07-22,SUCCESS,REF1001,retail
pay_Wh19XB61Kj,296.56,2026-07-03,SUCCESS,REF1002,services
pay_iy32Hs45nH,298.18,2026-07-14,SUCCESS,REF1003,food
pay_eu43Js87dv,3500.56,2026-07-23,SUCCESS,REF1004,retail
pay_xS94Ck45NR,4230.46,2026-07-03,SUCCESS,REF1005,retail
pay_oI87fT92Xv,513.02,2026-07-24,SUCCESS,REF1006,services
pay_bV68Uq49YX,44468.28,2026-07-10,SUCCESS,REF1007,food
pay_va85IG81xb,162.53,2026-07-23,SUCCESS,REF1008,food
pay_Jb61ke59kh,3501.48,2026-07-28,SUCCESS,REF1009,food
pay_FV59sy83AI,38072.81,2026-07-12,SUCCESS,REF1010,retail
pay_DO36Sv15dD,5806.72,2026-07-20,SUCCESS,REF1011,electronics
pay_rZ38CM69Ig,32277.99,2026-07-09,SUCCESS,REF1012,travel
pay_Ad08Df52nM,1503.39,2026-07-27,SUCCESS,REF1013,electronics
pay_Lc17qq22ue,32687.2,2026-07-09,SUCCESS,REF1014,travel
pay_kE72HE58fw,4560.29,2026-07-07,SUCCESS,REF1015,food
pay_ZO74jY37HH,31559.09,2026-07-09,SUCCESS,REF1016,services
pay_Ue41Ho92gO,907.14,2026-07-14,SUCCESS,REF1017,services
pay_wA51Uw55rz,14385.97,2026-07-16,SUCCESS,REF1018,food
pay_fJ71ki64gc,25390.69,2026-07-26,SUCCESS,REF1019,electronics
pay_FC14Rq95QQ,47697.23,2026-07-17,SUCCESS,REF1020,retail
pay_lf10Ym83xe,7757.15,2026-07-22,SUCCESS,REF1021,retail
pay_VK40Bq37Jb,48152.64,2026-07-10,SUCCESS,REF1022,travel
pay_cL10xI83XB,14256.43,2026-07-17,SUCCESS,REF1023,travel
pay_ei37Zs77FY,674.42,2026-07-27,SUCCESS,REF1024,services
pay_iT21Xk62zR,5772.65,2026-07-31,SUCCESS,REF1025,electronics
pay_Qw63us57wP,4266.46,2026-07-01,SUCCESS,REF1026,food
pay_il34FO71GR,13150.28,2026-07-02,SUCCESS,REF1027,electronics
pay_oC66wQ07Nt,162.22,2026-07-27,SUCCESS,REF1028,electronics
pay_hm59Pl49KF,3385.24,2026-07-31,SUCCESS,REF1029,food
pay_cU57lZ13Xm,7568.65,2026-07-30,SUCCESS,REF1030,electronics
pay_Km60EJ28Fw,684.24,2026-07-22,SUCCESS,REF1031,food
pay_Nb29QI04nu,32156.86,2026-07-08,SUCCESS,REF1032,food
pay_OG69cM57kk,163.82,2026-07-01,SUCCESS,REF1033,travel
pay_TX31Da35Kn,29416.58,2026-07-03,SUCCESS,REF1034,food
pay_ym81FF41LJ,6138.82,2026-07-24,SUCCESS,REF1035,electronics
pay_Bd51PE84vW,6930.19,2026-07-07,SUCCESS,REF1036,electronics
pay_su01OO50IX,755.44,2026-07-28,SUCCESS,REF1037,retail
pay_dH78UC41in,754.66,2026-07-13,SUCCESS,REF1038,food
pay_Om02ov84gZ,503.3,2026-07-18,SUCCESS,REF1039,retail
pay_Gd84Lc23Zc,13916.35,2026-07-15,SUCCESS,REF1040,services
pay_Fs42Zd40af,113.27,2026-07-27,SUCCESS,REF1041,food
pay_oG99jH29Kd,536.59,2026-07-14,SUCCESS,REF1042,food
pay_jr19Ej68HQ,4513.41,2026-07-13,SUCCESS,REF1043,travel
pay_El04Qw62iU,41334.46,2026-07-14,SUCCESS,REF1044,electronics
pay_EO58Hi83ca,12339.33,2026-07-05,SUCCESS,REF1045,services
pay_jW53Pe42Pc,33367.1,2026-07-02,SUCCESS,REF1046,services
pay_oE63PQ00RZ,151.13,2026-07-06,SUCCESS,REF1047,services
pay_nV24du71PP,14795.46,2026-07-03,SUCCESS,REF1048,food
pay_mI35Nw91Lm,26769.0,2026-07-19,SUCCESS,REF1049,services
pay_Uj36WO92MT,3346.63,2026-07-17,SUCCESS,REF1050,food
pay_SN44AE45Rq,7044.54,2026-07-09,SUCCESS,REF1051,retail
pay_Rb17oh08PL,512.0,2026-07-01,SUCCESS,REF1052,services
pay_oE09Xl85ad,554.79,2026-07-07,SUCCESS,REF1053,food
pay_oa38Cj97US,4943.22,2026-07-12,SUCCESS,REF1054,services
pay_Lg68pG72ou,1070.4,2026-07-26,SUCCESS,REF1055,retail
pay_iN03Iy04lp,45588.51,2026-07-31,SUCCESS,REF1056,services
pay_sf83aQ30In,344.84,2026-07-05,SUCCESS,REF1057,travel
pay_RO71Qz97aa,539.19,2026-07-17,SUCCESS,REF1058,electronics
pay_nO35TU55Yc,40844.77,2026-07-27,SUCCESS,REF1059,travel
pay_XD28Tu80Ur,766.37,2026-07-06,SUCCESS,REF1060,retail
pay_Vf20LD45GF,949.6,2026-07-03,SUCCESS,REF1061,travel
pay_QI52JW35bL,4867.65,2026-07-19,SUCCESS,REF1062,retail
pay_vW98Ex03Ru,7137.92,2026-07-29,SUCCESS,REF1063,services
pay_XC51ih43Ba,886.37,2026-07-29,SUCCESS,REF1064,food
pay_em59VD61du,10991.45,2026-07-26,SUCCESS,REF1065,travel
pay_ed15eN39MZ,936.8,2026-07-26,SUCCESS,REF1066,travel
pay_Ui58Dy01iB,1972.75,2026-07-06,SUCCESS,REF1067,food
pay_Tz11Ur14Fr,834.11,2026-07-07,SUCCESS,REF1068,food
pay_DE50Iu09Kz,693.37,2026-07-01,SUCCESS,REF1069,travel
pay_Xq28uu47WP,49245.99,2026-07-12,SUCCESS,REF1070,travel
pay_AN59ij17CI,20448.61,2026-07-31,SUCCESS,REF1071,travel
pay_Qk70Rk74Py,4910.64,2026-07-02,SUCCESS,REF1072,electronics
pay_RG08bM59AO,984.83,2026-07-20,SUCCESS,REF1073,travel
pay_CW02gu24JH,47023.01,2026-07-02,SUCCESS,REF1074,food
