payment_id,amount,date,status,merchant_ref,merchant_category
pay_ecSS0nTKxc,200.09,2026-07-21,SUCCESS,REF1000,retail
pay_SHmN8nRHCD,28769.51,2026-07-02,SUCCESS,REF1001,services
pay_sjo7khNtR9,296.56,2026-07-03,SUCCESS,REF1002,services
pay_s6jACPd46n,298.18,2026-07-14,SUCCESS,REF1003,food
pay_rki5bVyAzo,43384.54,2026-07-05,SUCCESS,REF1004,travel
pay_V5EAOTjNad,4230.46,2026-07-03,SUCCESS,REF1005,retail
pay_ir138Waz7o,513.02,2026-07-24,SUCCESS,REF1006,services
pay_QGMEVdazzn,44468.28,2026-07-10,SUCCESS,REF1007,food
pay_R1pBzu9nHO,162.53,2026-07-23,SUCCESS,REF1008,food
pay_juw8L3VXF0,3501.48,2026-07-28,SUCCESS,REF1009,food
pay_iX0nTMWwYB,38072.81,2026-07-12,SUCCESS,REF1010,retail
pay_6D6xd6TRkG,5806.72,2026-07-20,SUCCESS,REF1011,electronics
pay_7wUfmheVZk,32277.99,2026-07-09,SUCCESS,REF1012,travel
pay_elOsJ9R7eA,23276.25,2026-07-14,SUCCESS,REF1013,electronics
pay_gpoSohDbwD,17778.43,2026-07-15,SUCCESS,REF1014,travel
pay_45azY3F1Em,14248.19,2026-07-16,SUCCESS,REF1015,retail
pay_nNqLAdhteR,43136.86,2026-07-17,SUCCESS,REF1016,services
pay_CoW8b9CHvl,42354.78,2026-07-18,SUCCESS,REF1017,food
pay_bpGDOv6B1A,21554.93,2026-07-19,SUCCESS,REF1018,electronics
pay_yLxKmzxBba,17491.54,2026-07-20,SUCCESS,REF1019,travel
pay_71yg2nk2xn,29044.7,2026-07-21,SUCCESS,REF1020,retail
pay_ErvKa8rzDQ,9047.4,2026-07-22,SUCCESS,REF1021,services
pay_IfwliXtbH3,30121.28,2026-07-23,SUCCESS,REF1022,food
pay_XNBp3oXzeA,46719.31,2026-07-24,SUCCESS,REF1023,electronics
pay_Lc021jEySw,9629.14,2026-07-25,SUCCESS,REF1024,travel
pay_Uaj5xGULE6,10797.41,2026-07-26,SUCCESS,REF1025,retail
pay_olON1V9odr,13174.33,2026-07-27,SUCCESS,REF1026,services
pay_sVo0LWetZz,22180.44,2026-07-01,SUCCESS,REF1027,food
pay_hgYRsT1MiJ,34609.76,2026-07-02,SUCCESS,REF1028,electronics
pay_8M7w27tuQT,6779.57,2026-07-03,SUCCESS,REF1029,travel
pay_8hkHRqpn3o,33349.65,2026-07-04,SUCCESS,REF1030,retail
pay_Jqiufm7LIX,27744.7,2026-07-05,SUCCESS,REF1031,services
pay_MxIEU55Jxq,29506.36,2026-07-06,SUCCESS,REF1032,food
pay_MGFcyIjke9,2616.23,2026-07-07,SUCCESS,REF1033,electronics
pay_0Xg3jnphKu,47452.46,2026-07-08,SUCCESS,REF1034,travel
pay_cRjFtRLVln,37868.19,2026-07-09,SUCCESS,REF1035,retail
pay_GtVL4OtloR,5168.88,2026-07-10,SUCCESS,REF1036,services
pay_29SokJUrJm,42182.42,2026-07-11,SUCCESS,REF1037,food
pay_TT4FhdPLen,39665.73,2026-07-12,SUCCESS,REF1038,electronics
pay_CC4hBQREKG,5885.57,2026-07-13,SUCCESS,REF1039,travel
pay_JW5vrHDxtG,14424.13,2026-07-14,SUCCESS,REF1040,retail
pay_bIC5P83W9H,43753.12,2026-07-15,SUCCESS,REF1041,services
pay_xI47deHPI8,41797.9,2026-07-16,SUCCESS,REF1042,food
pay_c22wIjEmYe,4671.04,2026-07-17,SUCCESS,REF1043,electronics
pay_I4HGfoFH9t,30857.33,2026-07-18,SUCCESS,REF1044,travel
pay_DuKxamsUNM,36101.74,2026-07-19,SUCCESS,REF1045,retail
pay_3ZJAhDJkqB,3452.6,2026-07-20,SUCCESS,REF1046,services
pay_LXrhkjEdFS,39293.68,2026-07-21,SUCCESS,REF1047,food
pay_XTBzqKVyqR,38329.1,2026-07-22,SUCCESS,REF1048,electronics
pay_8dD9xxFtv6,17642.16,2026-07-23,SUCCESS,REF1049,travel
