bank_ref,value_date,credit_amount,description,utr_number
NEFT/2026/701522,10-09-2026,40345.37,RZRPY/REF9001,9001
NEFT/2026/429463,15-09-2026,21981.53,RZRPY/REF9002,9002
NEFT/2026/753205,04-09-2026,8811.1,RZRPY/REF9003,9003
NEFT/2026/465945,22-09-2026,21599.15,RZRPY/REF9004,9004
NEFT/2026/365415,11-09-2026,24229.83,RZRPY/REF9005,9005
NEFT/2026/659648,13-09-2026,38883.74,RZRPY/REF9006,9006
NEFT/2026/891613,10-09-2026,14167.83,RZRPY/REF9007,9007
NEFT/2026/888980,12-09-2026,47243.78,RZRPY/REF9008,9008
NEFT/2026/871749,02-09-2026,25442.47,RZRPY/REF9009,9009
NEFT/2026/670821,16-09-2026,8807.86,RZRPY/REF9010,9010
NEFT/2026/380553,15-09-2026,40287.88,RZRPY/REF9011,9011
NEFT/2026/596504,01-09-2026,26039.42,RZRPY/REF9012,9012
NEFT/2026/319087,06-09-2026,3304.48,RZRPY/REF9013,9013
NEFT/2026/694997,06-09-2026,30864.19,RZRPY/REF9014,9014
NEFT/2026/705227,25-09-2026,11269.63,RZRPY/REF9015,9015
NEFT/2026/257371,21-09-2026,7090.29,RZRPY/REF9016,9016
NEFT/2026/136312,03-09-2026,16058.57,RZRPY/REF9017,9017
NEFT/2026/181143,07-09-2026,2109.27,RZRPY/REF9018,9018
NEFT/2026/783028,11-09-2026,2803.36,RZRPY/REF9019,9019
NEFT/2026/764364,11-09-2026,40583.37,RZRPY/REF9020,9020
NEFT/2026/974437,28-09-2026,42809.22,RZRPY/REF9021,9021
NEFT/2026/653390,07-09-2026,41447.54,RZRPY/REF9022,9022
NEFT/2026/774386,15-09-2026,18140.31,RZRPY/REF9023,9023
NEFT/2026/856880,21-09-2026,17180.44,RZRPY/REF9024,9024
NEFT/2026/764060,02-09-2026,19518.26,RZRPY/REF9025,9025
NEFT/2026/528071,24-09-2026,14766.09,RZRPY/REF9026,9026
NEFT/2026/320516,24-09-2026,12961.34,RZRPY/REF9027,9027
NEFT/2026/296297,22-09-2026,22404.26,RZRPY/REF9028,9028
NEFT/2026/441555,11-09-2026,44473.74,RZRPY/REF9029,9029
NEFT/2026/105374,07-09-2026,34718.95,RZRPY/REF9030,9030
NEFT/2026/625337,16-09-2026,34576.06,RZRPY/REF9031,9031
NEFT/2026/295803,23-09-2026,13221.6,RZRPY/REF9032,9032
NEFT/2026/782990,19-09-2026,13973.73,RZRPY/REF9033,9033
NEFT/2026/271962,10-09-2026,15374.71,RZRPY/REF9034,9034
NEFT/2026/659998,06-09-2026,627.01,RZRPY/REF9035,9035
NEFT/2026/955275,07-09-2026,15686.77,RZRPY/REF9036,9036
NEFT/2026/721602,11-09-2026,569.78,RZRPY/REF9037,9037
NEFT/2026/885522,16-09-2026,41908.4,RZRPY/REF9038,9038
NEFT/2026/641226,27-09-2026,16790.18,RZRPY/REF9040,9040
NEFT/2026/494789,27-09-2026,22589.41,RZRPY/REF9041,9041
NEFT/2026/128179,15-09-2026,25800.6,RZRPY/REF9042,9042
NEFT/2026/804951,18-09-2026,26178.14,RZRPY/REF9043,9043
NEFT/2026/321752,28-09-2026,16652.51,RZRPY/REF9044,9044
NEFT/2026/805212,02-09-2026,23643.22,RZRPY/REF9051,9051
NEFT/2026/944933,08-09-2026,8056.88,RZRPY/REF9052,9052
NEFT/2026/252676,15-09-2026,20585.04,RZRPY/REF9053,9053
NEFT/2026/328529,16-09-2026,3165.99,RZRPY/REF9054,9054
NEFT/2026/925629,19-09-2026,5525.27,RZRPY/REF9055,9055
NEFT/2026/464294,27-09-2026,7282.24,RZRPY/REF9056,9056
NEFT/2026/532768,28-09-2026,15321.8,RZRPY/REF9057,9057
NEFT/2026/627265,19-09-2026,4251.97,RZRPY/REF9058,9058
NEFT/2026/847976,04-09-2026,20857.61,RZRPY/REF9059,9059
NEFT/2026/883521,24-09-2026,30222.03,RZRPY/REF9060,9060
NEFT/2026/611333,02-09-2026,29783.66,RZRPY/REF9061,9061
NEFT/2026/531220,15-09-2026,4717.81,RZRPY/REF9062,9062
NEFT/2026/714807,06-09-2026,8872.78,RZRPY/REF9063,9063
NEFT/2026/309232,05-09-2026,5369.27,RZRPY/REF9064,9064
NEFT/2026/824202,21-09-2026,19463.94,RZRPY/REF9065,9065
NEFT/2026/356692,05-09-2026,14895.05,RZRPY/REF9066,9066
NEFT/2026/236431,04-09-2026,22547.36,RZRPY/REF9067,9067
NEFT/2026/728228,20-09-2026,14578.83,RZRPY/REF9068,9068
NEFT/2026/999323,01-09-2026,12200.35,RZRPY/REF9069,9069
NEFT/2026/744485,17-09-2026,16049.98,RZRPY/REF9070,9070
NEFT/2026/490880,20-09-2026,26471.96,RZRPY/REF9071,9071
NEFT/2026/157994,04-09-2026,26990.46,RZRPY/REF9072,9072
NEFT/2026/921598,11-09-2026,16618.81,RZRPY/REF9073,9073
NEFT/2026/990781,21-09-2026,30744.25,RZRPY/REF9074,9074
NEFT/2026/797761,08-09-2026,26060.93,RZRPY/REF9075,9075
NEFT/2026/670632,03-09-2026,14918.78,RZRPY/REF9076,9076
NEFT/2026/521618,11-09-2026,22056.35,RZRPY/REF9077,9077
NEFT/2026/648061,06-09-2026,27287.23,RZRPY/REF9078,9078
NEFT/2026/192863,24-09-2026,8365.3,RZRPY/REF9079,9079
NEFT/2026/259754,23-09-2026,2670.1,RZRPY/REF9080,9080
NEFT/2026/790474,15-09-2026,25000.00,DIRECT_NEFT_PAYOUT_UNTAGGED,999991
NEFT/2026/499826,20-09-2026,12450.50,MISC_INWARD_SETTLEMENT,999992
