bank_ref,value_date,credit_amount,description,utr_number
NEFT/2026/355582,01-09-2026,31902.23,RZRPY/REF9001,9001
NEFT/2026/692516,02-09-2026,45561.69,RZRPY/REF9002,9002
NEFT/2026/110241,03-09-2026,1232.7,RZRPY/REF9003,9003
NEFT/2026/258570,04-09-2026,15767.75,RZRPY/REF9004,9004
NEFT/2026/945505,05-09-2026,10987.83,RZRPY/REF9005,9005
NEFT/2026/965805,06-09-2026,25957.58,RZRPY/REF9006,9006
NEFT/2026/635798,07-09-2026,25606.16,RZRPY/REF9007,9007
NEFT/2026/614145,08-09-2026,11147.14,RZRPY/REF9008,9008
NEFT/2026/252929,09-09-2026,18739.36,RZRPY/REF9009,9009
NEFT/2026/137593,10-09-2026,15270.48,RZRPY/REF9010,9010
NEFT/2026/587129,11-09-2026,22004.25,RZRPY/REF9011,9011
NEFT/2026/743315,12-09-2026,38793.84,RZRPY/REF9012,9012
NEFT/2026/514912,13-09-2026,40167.06,RZRPY/REF9013,9013
NEFT/2026/147027,14-09-2026,24034.5,RZRPY/REF9014,9014
NEFT/2026/805311,15-09-2026,45320.78,RZRPY/REF9015,9015
NEFT/2026/350960,16-09-2026,16977.81,RZRPY/REF9016,9016
NEFT/2026/287880,17-09-2026,16444.0,RZRPY/REF9017,9017
NEFT/2026/263482,18-09-2026,19112.03,RZRPY/REF9018,9018
NEFT/2026/949979,19-09-2026,5012.48,RZRPY/REF9019,9019
NEFT/2026/675121,20-09-2026,15243.54,RZRPY/REF9020,9020
NEFT/2026/634252,21-09-2026,38612.28,RZRPY/REF9021,9021
NEFT/2026/657720,22-09-2026,1866.27,RZRPY/REF9022,9022
NEFT/2026/500907,23-09-2026,46202.13,RZRPY/REF9023,9023
NEFT/2026/317219,24-09-2026,26073.04,RZRPY/REF9024,9024
NEFT/2026/607660,25-09-2026,19352.76,RZRPY/REF9025,9025
NEFT/2026/587713,26-09-2026,18299.98,RZRPY/REF9026,9026
NEFT/2026/456277,27-09-2026,25061.88,RZRPY/REF9027,9027
NEFT/2026/136537,01-09-2026,28873.16,RZRPY/REF9028,9028
NEFT/2026/921275,02-09-2026,21039.51,RZRPY/REF9029,9029
NEFT/2026/513406,03-09-2026,16148.42,RZRPY/REF9030,9030
NEFT/2026/761898,04-09-2026,45758.38,RZRPY/REF9031,9031
NEFT/2026/579811,05-09-2026,13869.41,RZRPY/REF9032,9032
NEFT/2026/723566,06-09-2026,11401.1,RZRPY/REF9033,9033
NEFT/2026/594231,07-09-2026,11614.79,RZRPY/REF9034,9034
NEFT/2026/218377,08-09-2026,4543.03,RZRPY/REF9035,9035
NEFT/2026/949537,09-09-2026,11024.19,RZRPY/REF9036,9036
NEFT/2026/228114,10-09-2026,46779.52,RZRPY/REF9037,9037
NEFT/2026/565798,11-09-2026,62469.09,RZRPY/REF9038,9038
NEFT/2026/312179,13-09-2026,34032.87,RZRPY/REF9040,9040
NEFT/2026/231949,14-09-2026,39981.76,RZRPY/REF9041,9041
NEFT/2026/252214,15-09-2026,8382.81,RZRPY/REF9042,9042
NEFT/2026/414884,16-09-2026,37423.07,RZRPY/REF9043,9043
NEFT/2026/848291,22-09-2026,22605.98,RZRPY/REF9044,9044
