payment_id,amount,date,status,merchant_ref,merchant_category
pay_LXHRnP2sZI,40345.37,2026-09-10,SUCCESS,REF9001,retail
pay_UXjQ4jlkEl,21981.53,2026-09-15,SUCCESS,REF9002,services
pay_EzkQxtL7h8,8811.1,2026-09-04,SUCCESS,REF9003,food
pay_05RyvoAosp,21599.15,2026-09-22,SUCCESS,REF9004,travel
pay_PCAaX1lXCt,24229.83,2026-09-11,SUCCESS,REF9005,travel
pay_miubkc9ezK,38883.74,2026-09-13,SUCCESS,REF9006,electronics
pay_GwyKZE82xx,14167.83,2026-09-10,SUCCESS,REF9007,retail
pay_R6fGDfbjlB,47243.78,2026-09-12,SUCCESS,REF9008,travel
pay_lZnN1qcLiI,25442.47,2026-09-02,SUCCESS,REF9009,electronics
pay_rmTGiP3uHg,8807.86,2026-09-16,SUCCESS,REF9010,travel
pay_GKPO8ORQn3,40287.88,2026-09-15,SUCCESS,REF9011,services
pay_nNIcLaULqF,26039.42,2026-09-01,SUCCESS,REF9012,retail
pay_ijqiy1Vdfv,3304.48,2026-09-06,SUCCESS,REF9013,food
pay_zybVTb4ec5,30864.19,2026-09-06,SUCCESS,REF9014,electronics
pay_BPVo09m1WC,11269.63,2026-09-25,SUCCESS,REF9015,electronics
pay_ksnQ8mhqSz,7090.29,2026-09-21,SUCCESS,REF9016,electronics
pay_aOv7ayiLzg,16058.57,2026-09-03,SUCCESS,REF9017,services
pay_wsaU0gPCVg,2109.27,2026-09-07,SUCCESS,REF9018,travel
pay_niCIMEqJIY,2803.36,2026-09-11,SUCCESS,REF9019,electronics
pay_YF1RC1OeHW,40583.37,2026-09-11,SUCCESS,REF9020,services
pay_rDG0Yfd6h0,42809.22,2026-09-28,SUCCESS,REF9021,electronics
pay_q0hobXdvEt,41447.54,2026-09-07,SUCCESS,REF9022,travel
pay_BhCK7fVvam,18140.31,2026-09-15,SUCCESS,REF9023,electronics
pay_a0CX7bMA1l,17180.44,2026-09-21,SUCCESS,REF9024,retail
pay_d1aWsZudRd,19518.26,2026-09-02,SUCCESS,REF9025,travel
pay_M8EpXkEwRX,14766.09,2026-09-24,SUCCESS,REF9026,electronics
pay_tsFCsCAxID,12961.34,2026-09-24,SUCCESS,REF9027,travel
pay_rBPYF0YhOJ,22404.26,2026-09-22,SUCCESS,REF9028,electronics
pay_jJGMZfcO8n,44473.74,2026-09-11,SUCCESS,REF9029,electronics
pay_QQNIyBgJnp,34718.95,2026-09-07,SUCCESS,REF9030,travel
pay_di8tCIdFIU,34576.06,2026-09-16,SUCCESS,REF9031,services
pay_3RjffQwvWm,13221.6,2026-09-23,SUCCESS,REF9032,travel
pay_VjM4qkPajL,13973.73,2026-09-19,SUCCESS,REF9033,electronics
pay_rtTeZYMT6q,15374.71,2026-09-10,SUCCESS,REF9034,services
pay_BBD6SfcP2F,627.01,2026-09-06,SUCCESS,REF9035,services
pay_bb4jxQvpJi,15686.77,2026-09-07,SUCCESS,REF9036,travel
pay_1TiqXiU1CO,569.78,2026-09-11,SUCCESS,REF9037,food
pay_LS4M5qyDCm,41037.14,2026-09-16,SUCCESS,REF9038,retail
pay_4Ra6R1rz6R,871.26,2026-09-02,SUCCESS,REF9039,electronics
pay_vypG01ecng,16834.14,2026-09-27,SUCCESS,REF9040,retail
pay_BjA4xudVHs,22618.96,2026-09-27,SUCCESS,REF9041,services
pay_tsmtN6UXpL,25875.0,2026-09-15,SUCCESS,REF9042,retail
pay_MZ4Gc8Khw4,26246.82,2026-09-18,SUCCESS,REF9043,electronics
pay_qQj7Egd4Qu,16652.51,2026-09-23,SUCCESS,REF9044,electronics
pay_sviCvTAcnc,4864.76,2026-09-15,SUCCESS,REF9045,food
pay_LQu8ZKJ9m5,955.66,2026-09-27,SUCCESS,REF9046,retail
pay_ERPTu49B7w,22357.27,2026-09-23,SUCCESS,REF9047,retail
pay_yCkJ6Nn8vP,39661.77,2026-09-08,SUCCESS,REF9048,electronics
pay_s0am58lRbF,22626.79,2026-09-25,SUCCESS,REF9049,retail
pay_wxUkMyxgfF,33633.57,2026-09-12,SUCCESS,REF9050,travel
pay_jfLfiVL1zs,10182.93,2026-09-04,SUCCESS,REF9051,food
pay_Vz3MMgWo1x,28485.94,2026-09-25,SUCCESS,REF9052,electronics
pay_X0Widj2VZO,20226.96,2026-09-16,FAILED,REF9053,retail
pay_dxsaxxYKN5,31115.77,2026-09-07,SUCCESS,REF9054,services
pay_fq9ljv3un8,5198.07,2026-09-21,SUCCESS,REF9055,electronics
pay_85UusPNyyI,29515.67,2026-09-23,FAILED,REF9056,retail
pay_geDc79Cu9R,28626.41,2026-09-27,SUCCESS,REF9057,electronics
pay_VP41lgWrHX,16560.14,2026-09-12,SUCCESS,REF9058,retail
pay_2uhdQApZIT,30083.45,2026-09-15,SUCCESS,REF9059,travel
pay_5UJgDpAiKT,30584.84,2026-09-04,SUCCESS,REF9060,travel
pay_KctBKMnNtl,11334.8,2026-09-16,SUCCESS,REF9061,food
pay_Qa8pJoNVRM,30534.72,2026-09-13,FAILED,REF9062,electronics
pay_YQOSzdwvj9,32224.99,2026-09-25,SUCCESS,REF9063,services
pay_NpwIPmw8mV,14754.53,2026-09-23,FAILED,REF9064,retail
pay_DVMSX92hLw,26535.09,2026-09-02,SUCCESS,REF9065,electronics
pay_LlrVySuub3,18995.35,2026-09-14,SUCCESS,REF9066,electronics
pay_CJM82kfYu0,10773.11,2026-09-13,SUCCESS,REF9067,travel
pay_KXqtXO2CRJ,24303.19,2026-09-24,SUCCESS,REF9068,retail
pay_Af8ikP6yVn,27141.49,2026-09-16,SUCCESS,REF9069,retail
pay_GIYOHcjmRa,15927.54,2026-09-12,FAILED,REF9070,electronics
pay_bLoWobwd83,11129.99,2026-09-16,SUCCESS,REF9071,electronics
pay_8s1P42lxBF,3475.6,2026-09-09,SUCCESS,REF9072,travel
pay_0nlE7FzRgL,1333.2,2026-09-04,SUCCESS,REF9073,services
pay_fV8pjJdLsS,16122.46,2026-09-11,SUCCESS,REF9074,retail
pay_CN0XkpmmaR,33917.96,2026-09-15,FAILED,REF9075,travel
pay_PpL84aBlRF,17665.95,2026-09-01,FAILED,REF9076,travel
pay_mKPauXQwJu,22950.1,2026-09-05,SUCCESS,REF9077,travel
pay_3InSTmkfAA,27811.3,2026-09-27,SUCCESS,REF9078,food
pay_tp5zG75fmf,6912.78,2026-09-23,SUCCESS,REF9079,services
pay_1bGLcKZJxG,27716.83,2026-09-07,SUCCESS,REF9080,travel
pay_JFMOGIgnJd,8729.26,2026-09-06,SUCCESS,REF9081,food
pay_7mavYql5QB,8952.45,2026-09-21,SUCCESS,REF9082,food
pay_sLhV7GC4Xm,25718.09,2026-09-08,SUCCESS,REF9083,services
pay_UpZi417D0P,6883.6,2026-09-11,SUCCESS,REF9084,electronics
pay_589OYCi5Ya,33480.03,2026-09-04,SUCCESS,REF9085,services
