payment_id,amount,date,status,merchant_ref,merchant_category
pay_t6a7cr6nSq,31902.23,2026-09-01,SUCCESS,REF9001,retail
pay_oGcfhyhjYH,45561.69,2026-09-02,SUCCESS,REF9002,services
pay_vmL07fsAle,1232.7,2026-09-03,SUCCESS,REF9003,food
pay_ht9ejHa2ei,15767.75,2026-09-04,SUCCESS,REF9004,electronics
pay_XM49SxMjI6,10987.83,2026-09-05,SUCCESS,REF9005,travel
pay_CMTZWDgIbO,25957.58,2026-09-06,SUCCESS,REF9006,retail
pay_0u0xR6VHdt,25606.16,2026-09-07,SUCCESS,REF9007,services
pay_lZ6KasTdlO,11147.14,2026-09-08,SUCCESS,REF9008,food
pay_J9aivJDBBT,18739.36,2026-09-09,SUCCESS,REF9009,electronics
pay_NVbFj5ezDJ,15270.48,2026-09-10,SUCCESS,REF9010,travel
pay_4N1Cm3P9lk,22004.25,2026-09-11,SUCCESS,REF9011,retail
pay_svULRQrAsX,38793.84,2026-09-12,SUCCESS,REF9012,services
pay_LLiZ5ozhCr,40167.06,2026-09-13,SUCCESS,REF9013,food
pay_y8Cju8PVdU,24034.5,2026-09-14,SUCCESS,REF9014,electronics
pay_hpB8Mqr8SY,45320.78,2026-09-15,SUCCESS,REF9015,travel
pay_h1DvVoj3rA,16977.81,2026-09-16,SUCCESS,REF9016,retail
pay_WLr5CUf1Tl,16444.0,2026-09-17,SUCCESS,REF9017,services
pay_B8nNzqPJ99,19112.03,2026-09-18,SUCCESS,REF9018,food
pay_6TynpNJ1pQ,5012.48,2026-09-19,SUCCESS,REF9019,electronics
pay_khg2X4QpT3,15243.54,2026-09-20,SUCCESS,REF9020,travel
pay_1BCBxoJM53,38612.28,2026-09-21,SUCCESS,REF9021,retail
pay_b0dVhE5lYf,1866.27,2026-09-22,SUCCESS,REF9022,services
pay_d7M6b831Dv,46202.13,2026-09-23,SUCCESS,REF9023,food
pay_MtIWax1mnb,26073.04,2026-09-24,SUCCESS,REF9024,electronics
pay_dkKP1iWpHt,19352.76,2026-09-25,SUCCESS,REF9025,travel
pay_IBUQfqlOtY,18299.98,2026-09-26,SUCCESS,REF9026,retail
pay_o59Q1asHkc,25061.88,2026-09-27,SUCCESS,REF9027,services
pay_YpKxSZtWEZ,28873.16,2026-09-01,SUCCESS,REF9028,food
pay_5gGByzy6Np,21039.51,2026-09-02,SUCCESS,REF9029,electronics
pay_jvEMlPQywO,16148.42,2026-09-03,SUCCESS,REF9030,travel
pay_6ghdgQNb4s,45758.38,2026-09-04,SUCCESS,REF9031,retail
pay_HaHFGUcKaE,13869.41,2026-09-05,SUCCESS,REF9032,services
pay_1QEyNAoEyi,11401.1,2026-09-06,SUCCESS,REF9033,food
pay_ho2icTm1cn,11614.79,2026-09-07,SUCCESS,REF9034,electronics
pay_TwwrdsHr0B,4543.03,2026-09-08,SUCCESS,REF9035,travel
pay_hVzzxc9KSt,11024.19,2026-09-09,SUCCESS,REF9036,retail
pay_ULQkKM6Qnw,46779.52,2026-09-10,SUCCESS,REF9037,services
pay_y91XZSuM5C,26499.83,2026-09-11,SUCCESS,REF9038,food
pay_i9HlftoDRe,35969.26,2026-09-12,SUCCESS,REF9039,electronics
pay_2g60nFrZGX,34097.34,2026-09-13,SUCCESS,REF9040,travel
pay_yyGnXLmwRV,40027.08,2026-09-14,SUCCESS,REF9041,retail
pay_ULvDHTNWQf,8443.12,2026-09-15,SUCCESS,REF9042,services
pay_535eaCbGF0,37462.0,2026-09-16,SUCCESS,REF9043,food
pay_THSVwd8MpC,22605.98,2026-09-17,SUCCESS,REF9044,electronics
pay_l3QUbIn4Db,11807.27,2026-09-18,SUCCESS,REF9045,travel
pay_9ntVBfpBeK,33250.85,2026-09-19,SUCCESS,REF9046,retail
pay_nc9mEiX07v,41308.53,2026-09-20,SUCCESS,REF9047,services
pay_kpJMERp63P,34231.35,2026-09-21,SUCCESS,REF9048,food
pay_sBLRsjDfOo,43630.45,2026-09-22,SUCCESS,REF9049,electronics
pay_QHJY76Gssh,2590.09,2026-09-23,SUCCESS,REF9050,travel
