payment_id,amount,date,status,merchant_ref,merchant_category
pay_AUG1000,2460.66,2026-08-15,SUCCESS,REF2000,retail
pay_AUG1001,2608.92,2026-08-16,SUCCESS,REF2001,services
pay_AUG1002,413.23,2026-08-03,SUCCESS,REF2002,electronics
pay_AUG1003,3748.86,2026-08-08,SUCCESS,REF2003,electronics
pay_AUG1004,487.84,2026-08-04,SUCCESS,REF2004,travel
pay_AUG1005,5985.93,2026-08-26,SUCCESS,REF2005,electronics
pay_AUG1006,1576.29,2026-08-01,SUCCESS,REF2006,electronics
pay_AUG1007,1710.25,2026-08-23,SUCCESS,REF2007,food
pay_AUG1008,157.56,2026-08-14,SUCCESS,REF2008,services
pay_AUG1009,26568.29,2026-08-27,SUCCESS,REF2009,food
pay_AUG1010,17987.9,2026-08-10,SUCCESS,REF2010,services
pay_AUG1011,702.86,2026-08-03,SUCCESS,REF2011,retail
pay_AUG1012,5006.42,2026-08-27,SUCCESS,REF2012,retail
pay_AUG1013,5574.03,2026-08-26,SUCCESS,REF2013,services
pay_AUG1014,19231.0,2026-08-15,SUCCESS,REF2014,services
pay_AUG1015,2124.89,2026-08-03,SUCCESS,REF2015,retail
pay_AUG1016,588.83,2026-08-07,SUCCESS,REF2016,food
pay_AUG1017,693.25,2026-08-09,SUCCESS,REF2017,electronics
pay_AUG1018,1841.44,2026-08-08,SUCCESS,REF2018,retail
pay_AUG1019,374.48,2026-08-21,SUCCESS,REF2019,electronics
pay_AUG1020,4441.15,2026-08-08,SUCCESS,REF2020,food
pay_AUG1021,2468.3,2026-08-11,SUCCESS,REF2021,retail
pay_AUG1022,3161.14,2026-08-13,SUCCESS,REF2022,retail
pay_AUG1023,19781.31,2026-08-04,SUCCESS,REF2023,services
pay_AUG1024,28105.8,2026-08-07,SUCCESS,REF2024,food
pay_AUG1025,5698.09,2026-08-18,SUCCESS,REF2025,travel
pay_AUG1026,404.68,2026-08-14,SUCCESS,REF2026,services
pay_AUG1027,513.92,2026-08-19,SUCCESS,REF2027,food
pay_AUG1028,4290.71,2026-08-18,SUCCESS,REF2028,services
pay_AUG1029,28745.73,2026-08-27,SUCCESS,REF2029,retail
pay_AUG1030,36022.38,2026-08-05,SUCCESS,REF2030,electronics
pay_AUG1031,14216.94,2026-08-28,SUCCESS,REF2031,food
pay_AUG1032,15100.28,2026-08-26,SUCCESS,REF2032,electronics
pay_AUG1033,17284.88,2026-08-14,SUCCESS,REF2033,retail
pay_AUG1034,19803.97,2026-08-04,SUCCESS,REF2034,services
pay_AUG1035,18192.52,2026-08-26,SUCCESS,REF2035,services
pay_AUG1036,18814.08,2026-08-23,SUCCESS,REF2036,travel
pay_AUG1037,854.22,2026-08-11,SUCCESS,REF2037,travel
pay_AUG1038,873.05,2026-08-04,SUCCESS,REF2038,retail
pay_AUG1039,32545.65,2026-08-20,SUCCESS,REF2039,retail
pay_AUG1040,945.03,2026-08-04,SUCCESS,REF2040,food
pay_AUG1041,1463.61,2026-08-08,SUCCESS,REF2041,services
pay_AUG1042,728.59,2026-08-26,SUCCESS,REF2042,food
pay_AUG1043,707.65,2026-08-16,SUCCESS,REF2043,services
pay_AUG1044,2133.84,2026-08-16,SUCCESS,REF2044,services
pay_AUG1045,857.12,2026-08-11,SUCCESS,REF2045,retail
pay_AUG1046,4942.63,2026-08-05,SUCCESS,REF2046,food
pay_AUG1047,35182.81,2026-08-20,SUCCESS,REF2047,food
pay_AUG1048,7757.75,2026-08-28,SUCCESS,REF2048,retail
pay_AUG1049,512.64,2026-08-12,SUCCESS,REF2049,electronics
pay_AUG1050,833.58,2026-08-12,SUCCESS,REF2050,retail
pay_AUG1051,3849.16,2026-08-27,SUCCESS,REF2051,retail
pay_AUG1052,36756.34,2026-08-24,SUCCESS,REF2052,electronics
pay_AUG1053,38218.93,2026-08-20,SUCCESS,REF2053,food
pay_AUG1054,17914.12,2026-08-16,SUCCESS,REF2054,food
pay_AUG1055,885.77,2026-08-02,SUCCESS,REF2055,travel
pay_AUG1056,6310.0,2026-08-10,SUCCESS,REF2056,electronics
pay_AUG1057,5674.52,2026-08-08,SUCCESS,REF2057,services
pay_AUG1058,25989.42,2026-08-25,SUCCESS,REF2058,electronics
pay_AUG1059,5059.73,2026-08-09,SUCCESS,REF2059,food
pay_AUG1060,814.23,2026-08-28,SUCCESS,REF2060,travel
pay_AUG1061,557.92,2026-08-23,SUCCESS,REF2061,retail
pay_AUG1062,449.87,2026-08-09,SUCCESS,REF2062,services
pay_AUG1063,22342.41,2026-08-19,SUCCESS,REF2063,services
pay_AUG1064,591.88,2026-08-02,SUCCESS,REF2064,travel
pay_AUG1065,4572.37,2026-08-16,SUCCESS,REF2065,food
pay_AUG1066,2392.43,2026-08-26,SUCCESS,REF2066,retail
pay_AUG1067,7044.24,2026-08-06,SUCCESS,REF2067,retail
pay_AUG1068,155.67,2026-08-21,SUCCESS,REF2068,services
pay_AUG1069,26739.8,2026-08-28,SUCCESS,REF2069,services
pay_AUG1070,6795.21,2026-08-28,SUCCESS,REF2070,electronics
pay_AUG1071,5300.18,2026-08-17,SUCCESS,REF2071,electronics
pay_AUG1072,44993.6,2026-08-01,SUCCESS,REF2072,electronics
pay_AUG1073,236.58,2026-08-09,SUCCESS,REF2073,services
pay_AUG1074,506.4,2026-08-03,SUCCESS,REF2074,electronics
pay_AUG1075,870.49,2026-08-10,SUCCESS,REF2075,services
