bank_ref,value_date,credit_amount,description,utr_number
NEFT/2026/AUG2000,2026-08-15,2460.66,RZRPY/REF2000,AUG_2000
NEFT/2026/AUG2001,2026-08-16,2608.92,RZRPY/REF2001,AUG_2001
NEFT/2026/AUG2002,2026-08-03,413.23,RZRPY/REF2002,AUG_2002
NEFT/2026/AUG2003,2026-08-08,3748.86,RZRPY/REF2003,AUG_2003
NEFT/2026/AUG2004,2026-08-04,487.84,RZRPY/REF2004,AUG_2004
NEFT/2026/AUG2005,2026-08-26,5985.93,RZRPY/REF2005,AUG_2005
NEFT/2026/AUG2006,2026-08-01,1576.29,RZRPY/REF2006,AUG_2006
NEFT/2026/AUG2007,2026-08-23,1710.25,RZRPY/REF2007,AUG_2007
NEFT/2026/AUG2008,2026-08-14,157.56,RZRPY/REF2008,AUG_2008
NEFT/2026/AUG2009,2026-08-27,26568.29,RZRPY/REF2009,AUG_2009
NEFT/2026/AUG2010,2026-08-10,17987.9,RZRPY/REF2010,AUG_2010
NEFT/2026/AUG2011,2026-08-03,702.86,RZRPY/REF2011,AUG_2011
NEFT/2026/AUG2012,2026-08-27,5006.42,RZRPY/REF2012,AUG_2012
NEFT/2026/AUG2013,2026-08-26,5574.03,RZRPY/REF2013,AUG_2013
NEFT/2026/AUG2014,2026-08-15,19231.0,RZRPY/REF2014,AUG_2014
NEFT/2026/AUG2015,2026-08-03,2124.89,RZRPY/REF2015,AUG_2015
NEFT/2026/AUG2016,2026-08-07,588.83,RZRPY/REF2016,AUG_2016
NEFT/2026/AUG2017,2026-08-09,693.25,RZRPY/REF2017,AUG_2017
NEFT/2026/AUG2018,2026-08-08,1841.44,RZRPY/REF2018,AUG_2018
NEFT/2026/AUG2019,2026-08-21,374.48,RZRPY/REF2019,AUG_2019
NEFT/2026/AUG2020,2026-08-08,4441.15,RZRPY/REF2020,AUG_2020
NEFT/2026/AUG2021,2026-08-11,2468.3,RZRPY/REF2021,AUG_2021
NEFT/2026/AUG2022,2026-08-13,3161.14,RZRPY/REF2022,AUG_2022
NEFT/2026/AUG2023,2026-08-04,19781.31,RZRPY/REF2023,AUG_2023
NEFT/2026/AUG2024,2026-08-07,28105.8,RZRPY/REF2024,AUG_2024
NEFT/2026/AUG2025,2026-08-18,5698.09,RZRPY/REF2025,AUG_2025
NEFT/2026/AUG2026,2026-08-14,404.68,RZRPY/REF2026,AUG_2026
NEFT/2026/AUG2027,2026-08-19,513.92,RZRPY/REF2027,AUG_2027
NEFT/2026/AUG2028,2026-08-18,4290.71,RZRPY/REF2028,AUG_2028
NEFT/2026/AUG2029,2026-08-27,28745.73,RZRPY/REF2029,AUG_2029
NEFT/2026/AUG2030,2026-08-05,36022.38,RZRPY/REF2030,AUG_2030
NEFT/2026/AUG2031,2026-08-28,14216.94,RZRPY/REF2031,AUG_2031
NEFT/2026/AUG2032,2026-08-26,15100.28,RZRPY/REF2032,AUG_2032
NEFT/2026/AUG2033,2026-08-14,17284.88,RZRPY/REF2033,AUG_2033
NEFT/2026/AUG2034,2026-08-04,19803.97,RZRPY/REF2034,AUG_2034
NEFT/2026/AUG2035,2026-08-26,18192.52,RZRPY/REF2035,AUG_2035
NEFT/2026/AUG2036,2026-08-23,18814.08,RZRPY/REF2036,AUG_2036
NEFT/2026/AUG2037,2026-08-11,854.22,RZRPY/REF2037,AUG_2037
NEFT/2026/AUG2038,2026-08-04,873.05,RZRPY/REF2038,AUG_2038
NEFT/2026/AUG2039,2026-08-20,32545.65,RZRPY/REF2039,AUG_2039
NEFT/2026/AUG2040,2026-08-04,945.03,RZRPY/REF2040,AUG_2040
NEFT/2026/AUG2041,2026-08-08,1463.61,RZRPY/REF2041,AUG_2041
NEFT/2026/AUG2042,2026-08-26,728.59,RZRPY/REF2042,AUG_2042
NEFT/2026/AUG2043,2026-08-16,707.65,RZRPY/REF2043,AUG_2043
NEFT/2026/AUG2044,2026-08-16,2133.84,RZRPY/REF2044,AUG_2044
NEFT/2026/AUG2045,2026-08-11,857.12,RZRPY/REF2045,AUG_2045
NEFT/2026/AUG2046,2026-08-05,4942.63,RZRPY/REF2046,AUG_2046
NEFT/2026/AUG2047,2026-08-20,35182.81,RZRPY/REF2047,AUG_2047
NEFT/2026/AUG2048,2026-08-28,7757.75,RZRPY/REF2048,AUG_2048
NEFT/2026/AUG2049,2026-08-12,512.64,RZRPY/REF2049,AUG_2049
NEFT/2026/AUG2050,2026-08-12,833.58,RZRPY/REF2050,AUG_2050
NEFT/2026/AUG2051,2026-08-27,3849.16,RZRPY/REF2051,AUG_2051
NEFT/2026/AUG2052,2026-08-24,36756.34,RZRPY/REF2052,AUG_2052
NEFT/2026/AUG2053,2026-08-20,38218.93,RZRPY/REF2053,AUG_2053
NEFT/2026/AUG2054,2026-08-16,17914.12,RZRPY/REF2054,AUG_2054
