bank_ref,value_date,credit_amount,description,utr_number
NEFT/2026/868400,2026-07-14 00:00:00,112.53,RZRPY/REF1008,1008
NEFT/2026/466291,2026-07-14 00:00:00,3511.48,RZRPY/REF1009,1009
NEFT/2026/330992,2026-07-14 00:00:00,38022.81,RZRPY/REF1010,1010
NEFT/2026/176679,2026-07-14 00:00:00,5796.72,RZRPY/REF1011,1011
NEFT/2026/617926,2026-07-14 00:00:00,32227.99,RZRPY/REF1012,1012
NEFT/2026/492080,2026-07-31,1503.39,RZRPY/REF1013,1013
NEFT/2026/862520,2026-07-13,32687.2,RZRPY/REF1014,1014
NEFT/2026/978670,2026-07-11,4560.29,RZRPY/REF1015,1015
NEFT/2026/171426,2026-07-09,31559.09,RZRPY/REF1016,1016
NEFT/2026/289095,2026-07-14,907.14,RZRPY/REF1017,1017
NEFT/2026/003994,2026-07-16,14385.97,RZRPY/REF1018,1018
NEFT/2026/491276,2026-07-26,25390.69,RZRPY/REF1019,1019
NEFT/2026/880064,2026-07-17,47697.23,RZRPY/REF1020,1020
NEFT/2026/101184,2026-07-22,7757.15,RZRPY/REF1021,1021
NEFT/2026/021702,2026-07-10,48152.64,RZRPY/REF1022,1022
NEFT/2026/313643,2026-07-17,14256.43,RZRPY/REF1023,1023
NEFT/2026/825799,2026-07-27,674.42,RZRPY/REF1024,1024
NEFT/2026/780644,2026-07-31,5772.65,RZRPY/REF1025,1025
NEFT/2026/450555,2026-07-01,4266.46,RZRPY/REF1026,1026
NEFT/2026/205611,2026-07-02,13150.28,RZRPY/REF1027,1027
NEFT/2026/852919,2026-07-27,162.22,RZRPY/REF1028,1028
NEFT/2026/264392,2026-07-31,3385.24,RZRPY/REF1029,1029
NEFT/2026/482043,2026-07-30,7568.65,RZRPY/REF1030,1030
NEFT/2026/120977,2026-07-22,684.24,RZRPY/REF1031,1031
NEFT/2026/125300,2026-07-08,32156.86,RZRPY/REF1032,1032
NEFT/2026/775364,2026-07-01,163.82,RZRPY/REF1033,1033
NEFT/2026/043976,2026-07-03,29416.58,RZRPY/REF1034,1034
NEFT/2026/055708,2026-07-24,6138.82,RZRPY/REF1035,1035
NEFT/2026/091022,2026-07-07,6930.19,RZRPY/REF1036,1036
NEFT/2026/982637,2026-07-28,755.44,RZRPY/REF1037,1037
NEFT/2026/762623,2026-07-13,754.66,RZRPY/REF1038,1038
NEFT/2026/405103,2026-07-18,503.3,RZRPY/REF1039,1039
NEFT/2026/232865,2026-07-15,13916.35,RZRPY/REF1040,1040
NEFT/2026/190663,2026-07-27,113.27,RZRPY/REF1041,1041
NEFT/2026/847902,2026-07-14,536.59,RZRPY/REF1042,1042
NEFT/2026/339878,2026-07-13,4513.41,RZRPY/REF1043,1043
NEFT/2026/382493,2026-07-14,41334.46,RZRPY/REF1044,1044
NEFT/2026/605896,2026-07-05,12339.33,RZRPY/REF1045,1045
NEFT/2026/127453,2026-07-02,33367.1,RZRPY/REF1046,1046
