bank_ref,value_date,credit_amount,description,utr_number
NEFT/2026/868400,14-07-2026 00:00,112.53,RZRPY/REF1008,1008
NEFT/2026/466291,14-07-2026 00:00,3511.48,RZRPY/REF1009,1009
NEFT/2026/330992,14-07-2026 00:00,38022.81,RZRPY/REF1010,1010
NEFT/2026/176679,14-07-2026 00:00,5796.72,RZRPY/REF1011,1011
NEFT/2026/617926,14-07-2026 00:00,32227.99,RZRPY/REF1012,1012
NEFT/2026/492080,31-07-2026,1503.39,RZRPY/REF1013,1013
NEFT/2026/862520,13-07-2026,32687.2,RZRPY/REF1014,1014
NEFT/2026/978670,11-07-2026,4560.29,RZRPY/REF1015,1015
NEFT/2026/171426,09-07-2026,31559.09,RZRPY/REF1016,1016
NEFT/2026/289095,14-07-2026,907.14,RZRPY/REF1017,1017
NEFT/2026/003994,16-07-2026,14385.97,RZRPY/REF1018,1018
NEFT/2026/491276,26-07-2026,25390.69,RZRPY/REF1019,1019
NEFT/2026/880064,17-07-2026,47697.23,RZRPY/REF1020,1020
NEFT/2026/101184,22-07-2026,7757.15,RZRPY/REF1021,1021
NEFT/2026/021702,10-07-2026,48152.64,RZRPY/REF1022,1022
NEFT/2026/313643,17-07-2026,14256.43,RZRPY/REF1023,1023
NEFT/2026/825799,27-07-2026,674.42,RZRPY/REF1024,1024
NEFT/2026/780644,31-07-2026,5772.65,RZRPY/REF1025,1025
NEFT/2026/450555,01-07-2026,4266.46,RZRPY/REF1026,1026
NEFT/2026/205611,02-07-2026,13150.28,RZRPY/REF1027,1027
NEFT/2026/852919,27-07-2026,162.22,RZRPY/REF1028,1028
NEFT/2026/264392,31-07-2026,3385.24,RZRPY/REF1029,1029
NEFT/2026/482043,30-07-2026,7568.65,RZRPY/REF1030,1030
NEFT/2026/120977,22-07-2026,684.24,RZRPY/REF1031,1031
NEFT/2026/125300,08-07-2026,32156.86,RZRPY/REF1032,1032
NEFT/2026/775364,01-07-2026,163.82,RZRPY/REF1033,1033
NEFT/2026/043976,03-07-2026,29416.58,RZRPY/REF1034,1034
NEFT/2026/055708,24-07-2026,6138.82,RZRPY/REF1035,1035
NEFT/2026/091022,07-07-2026,6930.19,RZRPY/REF1036,1036
NEFT/2026/982637,28-07-2026,755.44,RZRPY/REF1037,1037
NEFT/2026/762623,13-07-2026,754.66,RZRPY/REF1038,1038
NEFT/2026/405103,18-07-2026,503.3,RZRPY/REF1039,1039
NEFT/2026/232865,15-07-2026,13916.35,RZRPY/REF1040,1040
NEFT/2026/190663,27-07-2026,113.27,RZRPY/REF1041,1041
NEFT/2026/847902,14-07-2026,536.59,RZRPY/REF1042,1042
NEFT/2026/339878,13-07-2026,4513.41,RZRPY/REF1043,1043
